,T_return,T_supply,P_in,P_th,P_th_boiler,T_od,defrost,T_room,T_room_sp,Q_w
2023-02-06 00:00:00+01:00,23.1,18.92,0.334,-4.214,8.633,1.0,True,19.62,20.0,14.79
2023-02-06 00:01:00+01:00,23.07,15.58,0.729,-7.761,10.907,7.5,True,19.62,19.5,15.11
2023-02-06 00:02:00+01:00,22.97,21.82,0.144,-1.146,6.771,1.0,True,19.61,19.5,15.01
2023-02-06 00:03:00+01:00,22.98,25.55,0.838,2.622,2.517,1.0,False,19.6,19.5,15.03
2023-02-06 00:04:00+01:00,23.11,26.73,0.714,3.75,0.521,0.5,False,19.6,19.5,15.0
2023-02-06 00:05:00+01:00,23.14,26.47,0.698,3.438,0.0,1.0,False,19.59,19.5,14.91
2023-02-06 00:06:00+01:00,23.16,26.57,0.684,3.256,0.0,1.0,False,19.57,19.5,13.86
2023-02-06 00:07:00+01:00,23.15,26.74,0.684,3.108,0.0,0.5,False,19.56,19.5,12.96
2023-02-06 00:08:00+01:00,23.19,26.81,0.677,3.247,0.0,0.5,False,19.55,19.5,12.94
2023-02-06 00:09:00+01:00,23.21,26.91,0.676,3.259,0.0,0.5,False,19.53,19.5,12.76
2023-02-06 00:10:00+01:00,23.22,27.04,0.682,3.321,0.0,0.5,False,19.52,19.5,12.51
2023-02-06 00:11:00+01:00,23.22,27.03,0.698,3.268,0.0,0.5,False,19.51,19.5,12.46
2023-02-06 00:12:00+01:00,23.24,27.08,0.686,3.268,0.0,0.5,False,19.5,19.5,12.39
2023-02-06 00:13:00+01:00,23.26,27.24,0.695,3.326,0.0,0.0,False,19.5,19.5,12.26
2023-02-06 00:14:00+01:00,23.27,27.15,0.691,3.215,0.0,0.5,False,19.5,19.5,12.07
2023-02-06 00:15:00+01:00,23.27,27.2,0.688,3.245,0.0,0.0,False,19.49,19.5,11.94
2023-02-06 00:16:00+01:00,23.27,27.31,0.7,3.3,0.0,0.5,False,19.49,19.5,11.96
2023-02-06 00:17:00+01:00,23.26,27.22,0.688,3.163,0.0,0.5,False,19.49,19.5,11.72
2023-02-06 00:18:00+01:00,23.26,27.24,0.7,3.135,0.0,0.5,False,19.49,19.5,11.6
2023-02-06 00:19:00+01:00,23.24,27.23,0.706,3.188,0.0,0.5,False,19.49,19.5,11.45
2023-02-06 00:20:00+01:00,23.25,27.05,0.698,3.002,0.0,0.5,False,19.5,19.5,11.26
2023-02-06 00:21:00+01:00,23.25,26.84,0.687,2.765,0.0,0.5,False,19.5,19.5,11.25
2023-02-06 00:22:00+01:00,23.24,26.89,0.694,2.794,0.0,0.5,False,19.5,19.5,11.01
2023-02-06 00:23:00+01:00,23.22,26.79,0.698,2.643,0.0,0.5,False,19.5,19.5,10.8
2023-02-06 00:24:00+01:00,23.22,26.84,0.698,2.693,0.0,0.5,False,19.5,19.5,10.72
2023-02-06 00:25:00+01:00,23.22,26.77,0.703,2.594,0.0,0.5,False,19.5,19.5,10.62
2023-02-06 00:26:00+01:00,23.21,26.71,0.686,2.52,0.0,0.5,False,19.5,19.5,10.32
2023-02-06 00:27:00+01:00,23.2,26.55,0.685,2.353,0.0,0.5,False,19.5,19.5,10.17
2023-02-06 00:28:00+01:00,23.19,26.36,0.67,2.145,0.0,0.5,False,19.5,19.5,9.96
2023-02-06 00:29:00+01:00,23.22,22.91,0.064,-0.625,0.0,0.0,True,19.5,19.5,14.95
2023-02-06 00:30:00+01:00,23.19,19.18,0.316,-4.117,10.029,0.0,True,19.5,19.5,14.95
2023-02-06 00:31:00+01:00,23.12,16.77,0.514,-6.042,8.75,1.0,True,19.5,19.5,14.94
2023-02-06 00:32:00+01:00,23.07,21.73,0.121,-1.678,3.146,1.0,True,19.5,19.5,14.99
2023-02-06 00:33:00+01:00,22.93,23.77,0.494,0.208,5.73,0.5,False,19.5,19.5,14.81
2023-02-06 00:34:00+01:00,23.02,26.62,0.889,3.67,0.21,0.5,False,19.5,19.5,14.97
2023-02-06 00:35:00+01:00,23.02,26.25,0.696,3.356,0.0,0.5,False,19.5,19.5,14.93
2023-02-06 00:36:00+01:00,23.15,26.37,0.689,3.311,0.0,1.0,False,19.49,19.5,14.85
2023-02-06 00:37:00+01:00,23.12,26.22,0.667,3.208,0.0,0.5,False,19.49,19.5,14.64
2023-02-06 00:38:00+01:00,23.17,26.36,0.67,3.121,0.0,0.5,False,19.49,19.5,14.23
2023-02-06 00:39:00+01:00,23.17,26.45,0.67,3.177,0.0,0.5,False,19.49,19.5,14.28
2023-02-06 00:40:00+01:00,23.17,26.56,0.685,3.23,0.0,0.5,False,19.49,19.5,14.06
2023-02-06 00:41:00+01:00,23.17,26.6,0.682,3.304,0.0,0.5,False,19.49,19.5,13.9
2023-02-06 00:42:00+01:00,23.19,26.68,0.685,3.233,0.0,0.5,False,19.49,19.5,13.53
