time,electricity_price,gas_price,heat_price,hydrogen_price,inflex_elec_demand,inflex_heat_demand,inflex_gas_demand,inflex_hydrogen_demand,solar_irradiance,wind_speed,ambient_temperature
2022-07-01 00:00:00,0.34,1.45,0.24,0.9016,0.164,0.302,0.0604,0,0.0,3.225,14.8
2022-07-01 00:15:00,0.34,1.45,0.24,0.9016,0.174,0.302,0.0604,0,0.0,2.97,14.6
2022-07-01 00:30:00,0.34,1.45,0.24,0.9016,0.202,0.302,0.0604,0,0.0,2.305,14.55
2022-07-01 00:45:00,0.34,1.45,0.24,0.9016,0.20,0.302,0.0604,0,0.0,1.89,14.5
2022-07-01 01:00:00,0.284,1.45,0.24,0.9016,0.182,0.0,0.0,0,0.0,1.915,14.5
2022-07-01 01:15:00,0.284,1.45,0.24,0.9016,0.196,0.0,0.0,0,0.0,1.81,14.3
2022-07-01 01:30:00,0.284,1.45,0.24,0.9016,0.128,0.0,0.0,0,0.0,1.705,12.2
2022-07-01 01:45:00,0.284,1.45,0.24,0.9016,0.116,0.0,0.0,0,0.0,1.62,14.2
2022-07-01 02:00:00,0.27,1.45,0.24,0.9016,0.128,0.024,0.00472,0,0.0,1.935,14
2022-07-01 02:15:00,0.27,1.45,0.24,0.9016,0.10,0.024,0.00472,0,0.0,2.26,13.9
2022-07-01 02:30:00,0.27,1.45,0.24,0.9016,0.12,0.024,0.00472,0,0.0,2.355,14
2022-07-01 02:45:00,0.27,1.45,0.24,0.9016,0.1,0.024,0.00472,0,0.0,1.6,14
2022-07-01 03:00:00,0.254,1.45,0.24,0.9016,0.12,0.0,0.0,0,0.0,1.845,13.9
2022-07-01 03:15:00,0.254,1.45,0.24,0.9016,0.096,0.0,0.0,0,0.0,1.95,13.9
2022-07-01 03:30:00,0.254,1.45,0.24,0.9016,0.128,0.0,0.0,0,0.5,1.725,13.7
2022-07-01 03:45:00,0.254,1.45,0.24,0.9016,0.124,0.0,0.0,0,3.0,1.23,12.1
2022-07-01 04:00:00,0.25,1.45,0.24,0.9016,0.124,0.016,0.00311,0,11.0,1.78,13.7
2022-07-01 04:15:00,0.25,1.45,0.24,0.9016,0.124,0.016,0.00311,0,25.0,2.12,12.1
2022-07-01 04:30:00,0.25,1.45,0.24,0.9016,0.12,0.016,0.00311,0,52.0,1.985,12.85
2022-07-01 04:45:00,0.25,1.45,0.24,0.9016,0.124,0.016,0.00311,0,86.0,1.83,12.9
2022-07-01 05:00:00,0.251,1.45,0.24,0.9016,0.124,0.0,0.0,0,108.5,1.635,13.4
2022-07-01 05:15:00,0.251,1.45,0.24,0.9016,0.124,0.0,0.0,0,88.0,1.65,14.3
2022-07-01 05:30:00,0.251,1.45,0.24,0.9016,0.124,0.0,0.0,0,143.0,1.545,15.1
2022-07-01 05:45:00,0.251,1.45,0.24,0.9016,0.124,0.0,0.0,0,251.0,1.85,15.8
2022-07-01 06:00:00,0.249,1.45,0.24,0.9016,0.12,0.018,0.00354,0,297.5,2.25,16.5
2022-07-01 06:15:00,0.249,1.45,0.24,0.9016,0.124,0.018,0.00354,0,263.0,2.61,17.7
2022-07-01 06:30:00,0.249,1.45,0.24,0.9016,0.124,0.018,0.00354,0,170.0,2.08,18.95
2022-07-01 06:45:00,0.249,1.45,0.24,0.9016,0.512,0.018,0.00354,0,168.0,2.47,19.5
2022-07-01 07:00:00,0.254,1.45,0.24,0.9016,1.228,0.021,0.00414,0,234.0,2.525,19.4
2022-07-01 07:15:00,0.254,1.45,0.24,0.9016,0.712,0.021,0.00414,0,318.0,2.41,19.3
2022-07-01 07:30:00,0.254,1.45,0.24,0.9016,0.824,0.021,0.00414,0,286.5,2.315,19.6
2022-07-01 07:45:00,0.254,1.45,0.24,0.9016,0.8,0.021,0.00414,0,324.0,2.22,19.9
2022-07-01 08:00:00,0.249,1.45,0.24,0.9016,0.128,0.044,0.0088,0,388.5,2.13,19.8
2022-07-01 08:15:00,0.249,1.45,0.19,0.9016,0.128,0.044,0.0088,0,501.0,1.89,20.0
