technology,specification,value,power,duration
pv_generator,operating,1,,
pv_generator,area,16,,
pv_generator,efficiency,0.18,,
pv_generator,min_power,5,,
pv_generator,max_power,0,,
pv_generator,performance_ratio,0.9,,
electric_vehicle_charger,operating,1,,
electric_vehicle_charger,charging_rate,3.3,,
electric_vehicle_charger,discharging_rate,3.3,,
electric_vehicle_charger,min_soe,6,,
electric_vehicle_charger,max_soe,15,,
electric_vehicle_charger,soe_ini_mor,7,,
electric_vehicle_charger,soe_ini_aft,8,,
electric_vehicle_charger,ch_eta,0.95,,
electric_vehicle_charger,dch_eta,0.95,,
electric_vehicle_charger,soe_eom,14,,
electric_vehicle_charger,soe_eod,7,,
electric_vehicle_charger,t_arr,16,,
electric_vehicle_charger,t_dep,8.5,,
energy_storage_system,operating,1,,
energy_storage_system,charging_rate,3,,
energy_storage_system,discharging_rate,3,,
energy_storage_system,min_soe,5,,
energy_storage_system,max_soe,15,,
energy_storage_system,ini_soe,10,,
energy_storage_system,ch_eta,0.96,,
energy_storage_system,dch_eta,0.96,,
time_shiftable_load,operating,1,,
time_shiftable_load,phase1,,4.15,1
time_shiftable_load,phase2,,2.3,1
time_shiftable_load,phase3,,2.3,1
time_shiftable_load,phase4,,0.75,1
time_shiftable_load,phase5,,0.9,1
time_shiftable_load,phase6,,0.6,1
heat_pump,operating,1,,
heat_pump,cop,2,,
heat_pump,max_power,3,,
house_thermal_system,operating,1,,
house_thermal_system,resistance,11.5,,
house_thermal_system,capacitance,0.5,,
house_thermal_system,temp_ini,21,,
house_thermal_system,temp_max_sp,22,,
house_thermal_system,temp_min_sp,21,,
house_thermal_system,band_temp,0.5,,
gas_boiler,operating,1,,
gas_boiler,efficiency,0.94,,
gas_boiler,gas_lhv,8.792,,
gas_boiler,max_heat,6,,
gas_boiler,min_heat,0,,
electric_boiler,operating,1,,
electric_boiler,efficiency,0.97,,
electric_boiler,max_heat,6,,
electric_boiler,min_heat,0,,
solar_thermal,operating,1,,
solar_thermal,area,4,,
solar_thermal,efficiency,0.55,,
solar_thermal,max_heat,5,,
solar_thermal,min_heat,0,,
thermal_storage_system,operating,1,,
thermal_storage_system,charging_rate,3,,
thermal_storage_system,discharging_rate,3,,
thermal_storage_system,min_soh,5,,
thermal_storage_system,max_soh,20,,
thermal_storage_system,ini_soh,5,,
thermal_storage_system,ch_eta,0.96,,
thermal_storage_system,dch_eta,0.96,,
electrolyzer,operating,1,,
electrolyzer,hydrogen_hhl,3.52,,
electrolyzer,efficiency,0.7,,
electrolyzer,compressor_cop,0.5134,,
electrolyzer,max_hydrogen,3.5,,
electrolyzer,min_hydrogen,0,,
hydrogen_storage_system,operating,1,,
hydrogen_storage_system,dsp_gamma,0.006,,
hydrogen_storage_system,ini_soh2,4,,
hydrogen_storage_system,min_soh2,1,,
hydrogen_storage_system,max_soh2,8,,
hydrogen_storage_system,charging_rate,4,,
hydrogen_storage_system,discharging_rate,4,,
fuel_cell,operating,1,,
fuel_cell,electric_efficiency,0.4,,
fuel_cell,thermal_efficiency,0.67,,
fuel_cell,hydrogen_lhv,3,,
fuel_cell,min_power,0,,
fuel_cell,max_power,6,,
carrier_limitation,electric,4,,
carrier_limitation,heat,2,,
carrier_limitation,gas,2,,
carrier_limitation,hydrogen,0,,
